sampleName	Gender
NA18486	male
NA18498	male
NA18499	female
NA18501	male
NA18502	female
NA18504	male
NA18505	female
NA18507	male
NA18508	female
NA18510	male
NA18511	female
NA18516	male
NA18517	female
NA18519	male
NA18520	female
NA18522	male
NA18523	female
NA18852	female
NA18853	male
NA18855	female
NA18856	male
NA18858	female
NA18861	female
NA18862	male
NA18870	female
NA18871	male
NA18909	female
NA18912	female
NA18913	male
NA18916	female
NA19093	female
NA19098	male
NA19099	female
NA19101	male
NA19102	female
NA19108	female
NA19114	female
NA19116	female
NA19119	male
NA19127	female
NA19128	male
NA19130	male
NA19131	female
NA19137	female
NA19138	male
NA19140	female
NA19143	female
NA19144	male
NA19147	female
NA19152	female
NA19153	male
NA19159	female
NA19160	male
NA19171	male
NA19172	female
NA19190	female
NA19192	male
NA19193	female
NA19200	male
NA19201	female
NA19203	male
NA19204	female
NA19209	female
NA19210	male
NA19222	female
NA19225	female
NA19238	female
NA19239	male
NA19257	female
