EntrezID,WT.N4.rep1,WT.N4.rep2,WT.V4.rep1,WT.V4.rep2,KO.N4.rep1,KO.N4.rep2,KO.N4.rep3,KO.V4.rep1,KO.V4.rep2
497097,0,0,0,0,0,0,0,0,0
100503874,0,0,0,0,0,0,0,0,0
100038431,0,0,0,0,0,0,0,0,0
19888,0,0,0,0,0,0,0,0,0
20671,0,0,0,0,0,0,0,0,0
27395,305,291,430,499,599,785,671,702,895
18777,510,527,653,642,404,585,544,888,724
100503730,0,0,4,1,1,3,0,0,0
21399,333,361,445,608,424,771,572,710,806
58175,0,0,0,1,1,0,0,0,0
108664,194,124,230,281,264,334,340,398,444
18387,0,0,0,0,0,0,0,0,0
226304,0,0,0,0,0,0,0,0,0
12421,326,355,158,210,193,175,237,388,263
240690,1,0,1,0,0,0,0,1,0
100504079,15,15,3,10,23,5,10,36,10
319263,348,356,119,128,93,67,116,329,164
71096,0,0,0,0,0,0,0,0,0
59014,97,93,223,168,228,189,321,306,707
76187,0,0,0,0,0,0,0,1,0
72481,0,0,0,0,0,0,0,0,0
76982,0,0,0,0,0,0,0,0,1
17864,24,27,14,17,14,17,13,18,28
70675,381,302,274,265,148,163,258,508,410
170755,49,77,250,214,91,144,127,109,104
620986,97,73,73,142,123,258,190,250,273
240697,1,0,0,0,0,0,0,0,0
73824,236,248,194,188,263,499,270,422,453
266793,0,0,0,0,0,3,0,0,3
100038398,0,0,0,0,0,0,0,0,0
69312,0,0,0,0,0,0,0,0,0
26754,375,325,569,740,759,1005,809,959,1325
211660,108,116,72,78,118,122,105,151,197
211673,963,812,529,593,509,331,589,935,1104
329093,0,0,0,0,0,0,0,0,0
109294,0,0,0,0,0,0,0,0,0
320492,0,0,0,0,0,0,0,0,0
240725,0,0,0,0,0,0,0,0,0
240726,5,1,0,1,1,0,0,0,1
383491,0,0,0,0,0,0,0,0,0
17978,869,750,619,447,284,246,395,585,519
72265,1220,1351,1809,1718,1067,1390,1448,1583,1170
212442,140,122,121,176,150,236,204,260,302
381246,0,0,0,0,0,0,0,0,0
433273,1,2,1,0,4,0,3,0,3
14048,0,0,0,0,0,0,0,0,0
17681,0,0,0,0,0,0,0,0,0
277328,0,0,0,0,0,0,0,0,0
98741,0,0,0,0,0,0,0,0,0
21749,126,157,166,201,172,190,196,279,238
226866,0,1,0,0,0,1,2,1,0
665434,0,0,0,0,0,0,0,0,0
75799,0,0,0,0,0,0,0,0,0
19989,4177,4292,3208,3439,3175,5255,4743,8587,5617
98711,15,28,29,18,22,28,28,32,51
100503633,4,1,4,0,2,1,1,0,3
29819,2,1,3,1,3,2,0,1,3
66799,70,64,45,47,54,81,67,97,115
67923,182,200,223,290,342,528,417,509,490
329101,0,0,0,0,0,0,0,1,0
70397,176,176,180,231,207,379,259,262,351
17087,9,7,13,6,7,8,10,23,9
57339,0,0,0,0,0,0,0,0,0
14545,0,0,0,0,0,0,0,0,1
94227,0,0,0,0,0,0,0,0,0
83691,0,0,0,0,0,0,0,0,0
100503673,0,0,0,0,0,0,0,0,0
78081,0,0,0,0,0,0,0,0,0
654454,0,0,0,0,0,0,0,0,0
654460,0,0,0,0,0,0,0,0,0
77673,0,0,0,0,0,0,0,0,0
654464,0,0,0,0,0,0,0,0,0
226896,0,0,0,0,0,0,0,0,0
21419,0,0,0,0,0,0,0,0,0
100503916,0,0,0,0,0,0,0,0,0
100503972,0,0,0,0,0,0,0,0,0
241035,0,0,0,0,0,0,0,0,0
387202,0,0,0,0,0,0,0,0,0
723817,0,0,0,0,0,0,0,0,0
16171,0,0,0,0,0,0,0,0,0
257630,0,0,0,0,0,0,0,0,0
17215,1436,1281,2916,2442,2527,1434,2251,2399,3891
74229,38,53,29,30,6,7,8,23,10
71877,0,0,0,1,0,0,1,0,2
170829,25,14,23,15,2,2,10,9,8
75712,4,3,4,0,4,2,9,9,2
14859,0,1,0,0,0,1,0,0,0
241041,0,0,0,0,0,0,0,0,0
368204,0,0,1,3,1,5,3,0,0
433278,0,0,0,0,0,0,2,0,0
98582,0,0,0,0,0,0,0,0,0
226922,148,100,78,56,95,52,65,104,202
116837,0,0,0,0,0,0,0,1,0
665725,0,0,0,0,0,0,0,0,0
66755,0,0,0,0,0,0,0,0,0
387225,0,0,0,0,0,0,0,0,0
723964,0,0,0,0,0,0,0,0,0
70155,88,86,118,70,79,42,64,125,61
100503399,0,0,0,0,0,0,0,2,0
280645,2,2,1,3,3,7,0,1,3
98366,257,260,211,183,167,134,193,285,246
68002,33,25,20,24,35,48,34,76,52
68187,0,0,0,0,0,0,0,0,0
12839,0,0,0,0,0,0,0,0,0
12823,0,0,0,0,0,0,0,0,0
100503984,0,0,0,0,0,0,0,0,0
100503946,35262,39868,36988,23236,40144,58095,28006,37781,44955
68421,142,117,106,103,80,126,114,180,163
210933,0,0,0,0,0,0,0,0,0
100504323,0,0,0,0,0,0,0,0,0
210940,0,0,0,0,0,0,0,0,0
100503081,0,0,0,0,0,0,0,0,0
433281,0,0,0,0,0,0,0,0,0
210962,0,0,0,0,0,0,0,0,0
623924,0,0,0,0,0,0,0,0,0
100502623,0,4,6,5,4,11,7,26,12
791350,0,0,0,0,0,0,0,0,0
213109,804,821,419,475,547,344,539,891,1284
19243,42,48,88,101,84,99,98,103,152
70988,0,0,0,0,0,0,0,0,0
266744,0,0,0,0,0,0,0,0,0
74708,0,0,0,0,0,0,0,0,0
226957,0,0,0,0,0,0,0,0,0
624262,0,1,0,1,0,1,3,1,0
100503415,109,110,130,128,110,84,107,116,171
170771,0,0,0,0,0,0,0,0,0
408192,0,0,0,0,0,0,0,0,0
408191,0,0,0,0,0,0,0,0,0
19076,322,254,406,456,390,450,414,511,549
67503,0,1,1,0,1,6,0,1,3
19335,27,26,29,30,29,33,28,37,52
213539,67,51,71,72,107,78,105,112,212
98403,151,144,57,91,70,69,108,171,197
433287,107,104,139,93,140,94,114,183,254
320705,3,5,1,6,3,10,5,24,7
13518,14,13,10,12,20,8,9,9,32
69668,123,112,103,122,149,233,184,265,342
27993,251,232,448,446,545,644,514,503,981
52318,71,96,72,68,74,38,59,69,110
19253,622,665,712,872,652,1500,1162,1334,589
21755,0,0,0,1,0,0,0,0,0
12627,0,0,0,0,0,0,0,0,0
21756,0,0,0,0,0,0,0,0,0
211383,0,0,0,0,0,0,0,0,0
241051,0,0,0,0,0,0,0,0,0
241052,0,0,0,0,0,0,0,0,0
226970,100,100,18,16,21,29,30,57,49
214469,856,924,668,555,482,342,556,826,918
226971,662,679,335,286,229,178,243,438,427
50785,139,143,72,88,110,49,62,128,193
320011,837,825,927,747,696,471,701,954,1288
214854,663,646,553,533,635,621,625,1241,1025
214855,1061,1064,977,882,1048,795,822,1471,1812
226976,301,295,152,158,174,165,202,294,434
214895,70,72,66,31,81,31,62,65,98
94220,96,87,116,87,86,51,85,75,130
94218,133,153,183,131,169,108,133,170,231
78321,17,13,5,5,11,38,9,17,50
109346,28,34,38,39,51,61,53,72,110
20353,121,107,3,5,7,0,4,26,82
381337,3,1,0,0,0,1,0,2,16
623414,0,0,0,0,0,0,0,0,0
12859,90,138,221,178,244,301,248,222,154
226977,219,213,216,196,267,209,248,307,584
71166,0,0,0,0,0,0,0,0,0
22637,1771,1826,1591,1202,1339,1127,1530,1936,2038
56030,1002,955,641,519,507,254,439,562,1173
70853,13,9,6,3,3,6,3,13,2
12790,0,0,0,0,0,0,1,0,0
269180,184,210,46,60,81,35,49,107,61
76178,711,706,899,681,595,439,618,934,901
67387,82,107,96,129,96,185,164,176,162
269181,135,126,220,185,225,127,201,248,285
77633,1,5,5,4,6,7,5,9,10
72097,23,20,49,57,56,39,49,96,51
100503734,0,0,0,0,0,0,0,0,0
211484,3,3,5,2,1,2,2,5,4
623661,17,24,19,29,42,43,28,39,50
69028,105,99,179,218,253,416,268,459,295
107734,315,356,322,298,381,468,410,574,430
332427,0,0,0,0,0,0,0,0,0
69541,0,0,0,0,0,0,0,0,0
98258,190,208,224,264,341,478,348,433,497
226982,733,681,912,640,1740,698,1199,1275,2520
56210,42,35,43,51,49,54,44,60,133
16764,1550,1638,572,341,198,139,247,477,298
381338,0,0,0,0,0,0,0,0,0
98388,112,83,102,113,42,35,54,100,39
100503760,0,0,0,0,0,1,0,0,0
433292,0,0,0,0,0,0,0,0,0
68833,252,222,247,285,302,293,330,410,509
18143,70,80,41,41,29,20,25,20,18
114641,24,18,39,32,47,62,47,57,73
54610,4,3,4,3,0,4,3,1,4
100503777,4,3,1,1,6,10,4,5,9
52846,216,226,319,237,326,226,327,375,473
100217461,1,0,0,0,3,5,1,5,1
67702,88,93,97,87,155,118,154,186,255
263764,0,0,0,0,0,0,0,0,0
619289,0,2,0,1,2,1,1,0,3
100042065,0,0,0,0,0,0,0,0,0
26921,1932,1876,770,780,485,360,566,1019,1069
100047133,0,0,0,0,1,0,0,0,0
16178,12,0,1,1,0,0,0,0,3
16177,0,0,0,0,0,1,0,0,0
107527,8,7,13,15,9,7,10,19,26
17082,0,1,10,15,9,11,16,3,3
16182,499,702,511,681,723,1400,1339,1675,395
16174,141,137,191,248,122,175,247,289,169
110895,0,0,0,0,0,0,0,0,0
226999,4,3,3,5,8,2,8,6,13
211798,10,8,9,6,4,3,3,10,8
381339,0,0,0,0,0,0,0,0,0
791306,0,0,0,0,0,0,0,0,0
66297,0,0,0,0,0,0,0,0,0
18993,0,0,0,0,0,0,0,0,0
73100,0,0,0,0,0,0,0,0,0
69527,270,272,290,329,335,349,376,551,486
93690,0,0,0,0,0,0,0,0,0
73122,128,155,96,93,101,68,94,141,185
98404,89,86,69,81,80,88,104,148,188
14200,27,24,105,95,166,167,216,142,263
666642,88,75,120,101,106,76,78,81,115
17974,70,102,72,93,45,45,70,65,34
100503894,2,1,2,1,2,7,3,1,1
78896,0,0,0,0,0,1,0,0,0
67883,37,34,43,61,63,72,81,72,102
22019,779,803,1075,789,840,560,904,1027,1611
433294,1,0,0,0,1,1,0,0,0
75623,96,91,168,224,218,395,327,295,366
72050,55,59,65,75,79,79,66,72,218
246229,121,116,59,71,43,37,42,75,87
22592,149,149,46,74,68,40,70,145,135
403183,0,0,0,0,0,0,0,0,0
70676,0,0,0,1,0,0,0,0,0
12825,0,0,0,0,0,0,0,0,0
12832,0,0,0,0,0,0,0,0,0
73674,160,137,278,265,397,474,448,494,1012
433297,784,815,1008,943,1105,1257,1332,1724,1196
53945,0,0,0,0,0,0,0,0,0
100042453,0,0,0,0,0,0,0,0,0
212225,0,0,0,0,0,0,0,0,0
227058,0,0,0,0,0,0,0,0,0
100101919,0,2,1,1,1,3,0,0,4
