	controlA	controlB	thrombinA	thrombinB	thrombinC
DDX11L1	0	1	0	0	0
OR4F5	0	0	0	0	0
LOC100133331	36	47	19	19	19
LOC100132062	0	0	0	0	0
OR4F3	0	0	0	0	0
FAM87B	4	1	1	4	2
LINC01128	328	288	305	249	313
SAMD11	125	146	176	182	194
KLHL17	274	258	180	183	158
PLEKHN1	32	35	37	30	28
ISG15	1464	1544	2365	2340	2155
AGRN	12344	13020	18867	18585	17552
LINC01342	0	0	0	0	0
MIR200B	0	0	0	0	0
MIR200A	0	0	0	0	0
MIR429	0	0	0	0	0
TTLL10	0	0	0	0	0
B3GALT6	525	509	732	738	680
SCNN1D	32	47	27	23	30
PUSL1	251	229	309	283	294
GLTPD1	693	650	808	837	803
TAS1R3	4	0	3	3	1
LOC148413	257	272	315	238	301
TMEM88B	0	0	0	0	0
VWA1	360	335	423	466	399
ATAD3C	1	3	5	3	2
ATAD3B	441	456	418	449	400
ATAD3A	675	631	802	865	753
MIB2	354	387	308	369	317
MMP23B	0	0	0	0	0
MMP23A	0	2	1	0	1
CALML6	5	7	1	3	3
GABRD	0	0	0	0	0
PRKCZ	101	74	126	116	92
SKI	1970	1771	2009	1947	1913
RER1	2119	2156	2559	2231	2418
PLCH2	1	0	1	0	1
TNFRSF14	1047	1104	978	839	887
FAM213B	1367	1393	1850	1677	1699
ACTRT2	0	0	0	0	0
PRDM16	0	0	0	0	0
MIR4251	0	0	0	0	0
ARHGEF16	7	10	8	9	4
TPRG1L	2484	2517	3580	3007	3407
TP73	8	9	3	7	3
CCDC27	0	0	0	0	0
SMIM1	0	0	3	0	0
DFFB	178	127	146	133	122
LINC01134	7	5	5	5	4
LINC01346	0	0	0	0	0
LOC284661	0	0	0	0	0
AJAP1	0	0	0	0	0
MIR4417	0	0	0	0	0
KCNAB2	32	32	32	31	27
RNF207	224	220	106	94	93
LINC00337	3	3	3	2	4
HES3	0	0	0	0	0
ESPN	8	6	12	9	16
TAS1R1	0	1	0	0	1
ZBTB48	167	161	140	108	135
PHF13	441	456	616	489	610
THAP3	513	574	597	543	569
LOC100505887	0	0	0	0	0
CAMTA1	369	334	408	373	397
VAMP3	4470	4548	5377	4464	5224
PER3	89	87	36	44	44
PARK7	2437	2401	2943	2559	2770
SLC45A1	21	30	31	20	24
ENO1-AS1	6	1	3	3	3
CA6	0	0	0	1	0
H6PD	2518	2585	3418	3097	3378
SPSB1	997	1017	1872	1648	1843
SLC25A33	187	216	275	197	284
TMEM201	303	293	278	317	311
PIK3CD	668	734	1297	1171	1255
NMNAT1	237	235	252	224	279
RBP7	0	0	0	0	0
UBE4B	1793	1690	1749	1528	1733
KIF1B	2297	2358	2190	1819	2159
PGD	5859	5770	7746	6941	7544
APITD1	13	16	11	9	12
APITD1-CORT	0	0	0	0	0
CORT	4	4	1	2	0
PEX14	346	352	395	460	378
TARDBP	3207	3076	2383	1959	2363
MTOR-AS1	79	80	81	76	96
ANGPTL7	2	0	0	0	0
UBIAD1	448	454	528	413	482
PTCHD2	4	3	4	1	3
LOC101929181	0	0	0	0	0
FBXO44	150	160	131	121	131
FBXO6	81	83	140	112	124
DRAXIN	8	3	4	6	8
AGTRAP	402	409	556	523	538
C1orf167	211	212	157	160	137
CLCN6	985	984	577	564	584
NPPA-AS1	0	0	0	0	0
PLOD1	16507	16409	22167	20649	21343
MFN2	3333	3276	4461	3940	4417
MIIP	390	383	407	390	355
MIR6729	0	0	0	0	0
TNFRSF8	0	0	0	0	0
MIR7846	0	0	0	0	0
TNFRSF1B	279	302	260	217	239
MIR4632	0	0	0	0	0
VPS13D	1626	1706	1475	1218	1442
SNORA59A	0	3	1	0	0
AADACL4	0	0	0	0	0
AADACL3	0	0	0	0	0
C1orf158	0	0	0	0	0
PRAMEF12	0	0	0	0	0
PRAMEF1	0	0	0	0	0
PRAMEF2	0	0	0	0	0
PRAMEF7	0	0	0	0	0
LOC391003	0	0	0	0	0
LOC649324	0	0	0	0	0
PRAMEF5	0	0	0	0	0
PRAMEF10	0	0	0	0	0
PRAMEF15	0	0	0	0	0
PRAMEF16	0	0	0	0	0
PRAMEF20	0	0	0	0	0
PRAMEF17	0	1	0	0	0
PDPN	323	317	418	365	416
PRDM2	1067	940	835	734	799
KAZN	186	203	200	153	195
TMEM51	434	406	596	529	571
FHAD1	3	4	0	2	2
EFHD2	1817	1701	2080	1959	1922
CTRC	2	1	0	1	0
