	GK2	GK12	GK13	GK14	GK15	GK16	GK17	GK18	GK19	GK20
hsa-let-7a-2-3p	9	2	0	0	6	0	4	2	0	0
hsa-let-7a-3p	1008	764	616	1250	653	543	780	830	542	472
hsa-let-7a-5p	418845	932373	535837	580148	704481	496461	498700	722375	466376	414725
hsa-let-7b-3p	1446	1080	778	777	1113	533	851	923	568	371
hsa-let-7b-5p	228575	146683	81743	99281	110355	77322	89668	107560	67640	58165
hsa-let-7c-3p	71	70	49	64	73	61	58	65	43	57
hsa-let-7c-5p	157757	152192	80540	84423	119537	76491	72741	114670	61734	57402
hsa-let-7d-3p	3421	1969	1801	1641	1205	773	1824	1746	852	801
hsa-let-7d-5p	32753	30185	23345	23448	21439	18066	21472	30056	19896	17326
hsa-let-7e-3p	235	229	167	219	176	168	209	223	125	190
hsa-let-7e-5p	32121	68663	37621	47829	43743	37192	37168	67677	36680	34908
hsa-let-7f-1-3p	337	156	149	260	205	126	187	182	151	99
hsa-let-7f-2-3p	227	201	158	277	188	196	210	264	128	147
hsa-let-7f-5p	91493	430129	440927	421584	333440	418859	356758	503223	323671	299363
hsa-let-7g-3p	412	123	135	186	109	120	116	133	72	98
hsa-let-7g-5p	99033	128461	115243	104487	101993	112994	110211	153254	96522	85704
hsa-let-7i-3p	959	312	281	305	250	167	272	181	148	151
hsa-let-7i-5p	68880	61219	45459	56624	49198	38491	45053	42253	30248	37262
hsa-miR-1-3p	15243	38469	56516	43545	30784	81020	35839	80184	58389	47391
hsa-miR-1-5p	68	23	11	61	19	16	22	24	7	5
hsa-miR-100-3p	16	105	50	81	115	22	102	60	68	46
hsa-miR-100-5p	23969	35263	15812	12956	30863	11989	20245	15203	12936	13414
hsa-miR-101-3p	73654	79550	62117	94592	71573	77882	91403	92390	48060	48009
hsa-miR-101-5p	455	297	301	357	284	242	365	355	186	189
hsa-miR-103a-2-5p	52	11	12	7	10	16	4	9	15	13
hsa-miR-103a-3p	53294	34358	33279	33800	29212	29305	29423	34613	22572	32095
hsa-miR-105-5p	0	2	0	0	0	0	0	0	0	0
hsa-miR-106a-5p	54	54	19	27	34	61	36	104	25	31
hsa-miR-106b-3p	1921	1110	585	704	647	630	744	621	333	486
hsa-miR-106b-5p	1127	787	615	985	562	543	718	758	338	570
hsa-miR-107	13586	7846	7929	8370	6148	7061	7643	7836	4942	6407
hsa-miR-10a-3p	3	33	4	38	66	18	64	19	7	57
hsa-miR-10a-5p	27265	147273	27124	121246	247628	64852	156692	59050	31371	158058
hsa-miR-10b-3p	2	27	4	16	15	6	15	11	4	21
hsa-miR-10b-5p	69094	368804	41183	180148	181794	60648	152074	111726	40233	214945
hsa-miR-1179	13	22	46	25	37	12	12	30	32	12
hsa-miR-1180-3p	541	467	529	349	301	304	404	788	230	246
hsa-miR-1180-5p	0	0	0	2	0	0	0	0	0	0
hsa-miR-1185-1-3p	7	24	7	31	11	8	28	22	10	19
hsa-miR-1185-2-3p	0	3	0	5	0	0	2	0	0	0
hsa-miR-1185-5p	101	155	70	104	125	81	71	118	113	58
hsa-miR-1197	0	3	2	4	0	2	5	2	2	2
hsa-miR-122-3p	0	0	0	0	0	2	0	0	0	0
hsa-miR-122-5p	12	22	9	8	19	2	7	14	5	6
hsa-miR-1224-5p	2	0	0	0	0	0	0	0	0	0
hsa-miR-1226-3p	150	44	44	75	42	20	44	44	21	30
hsa-miR-1226-5p	4	2	0	0	0	0	0	0	0	0
hsa-miR-1227-3p	14	2	9	0	4	4	13	6	7	8
hsa-miR-1228-3p	2	7	2	21	0	0	9	0	0	3
hsa-miR-1228-5p	0	2	0	11	0	0	0	2	0	2
hsa-miR-1229-3p	2	0	3	0	0	0	2	7	0	4
hsa-miR-1233-3p	2	0	5	0	0	0	0	9	0	2
hsa-miR-1236-3p	2	0	0	0	0	0	0	0	0	0
hsa-miR-1237-3p	3	0	0	0	3	0	6	0	0	0
hsa-miR-124-3p	0	3	0	0	2	0	0	0	0	0
hsa-miR-1243	12	21	16	16	9	9	12	20	11	9
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	2
hsa-miR-1245b-3p	2	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	2	0	0	0	0	0	0	0	0
hsa-miR-1246	465	152	45	183	46	19	227	38	107	31
hsa-miR-1247-3p	8	14	0	3	9	0	0	0	3	3
hsa-miR-1247-5p	166	115	10	32	93	28	34	25	28	41
hsa-miR-1248	0	0	0	0	0	0	0	0	3	2
hsa-miR-1249-3p	70	5	14	24	27	16	28	29	9	9
hsa-miR-1250-5p	2	6	0	2	2	0	3	0	0	2
hsa-miR-1251-5p	9	0	10	5	5	9	12	14	3	6
hsa-miR-1254	2	8	7	6	3	0	5	5	0	7
