	Sample1	Sample2	Sample3	Sample4	Sample5	......
ENSG00000127720	6	32	14	35	14	
ENSG00000242018	20	21	24	22	16	
ENSG00000224440	0	0	0	0	0	
ENSG00000214453	0	0	0	0	0	
ENSG00000237787	0	0	1	0	0	
ENSG00000051596	408	475	220	294	325	
ENSG00000236211	635	593	333	247	425	
ENSG00000214684	3	9	3	6	4	
ENSG00000236118	0	0	0	0	0	
ENSG00000213697	20	43	17	42	12	
ENSG00000135541	12	57	26	32	47	
ENSG00000212066	2	3	2	1	1	
ENSG00000143376	141	241	159	121	245	
ENSG00000206917	0	0	0	0	0	
ENSG00000228017	0	0	0	0	0	
......						
